date,sku,brand,category,list_price,unit_cost,price,competitor_price,discount,festive,sale_event,weekend,units_sold
2025-01-01,IPHONE_15_128,Apple,Smartphones,70000,52000,63183.05032512248,63596.48182089703,0.09738499535539315,0,0,0,69
2025-01-02,IPHONE_15_128,Apple,Smartphones,70000,52000,64973.67576807217,65243.09405759941,0.07180463188468324,0,0,0,63
2025-01-03,IPHONE_15_128,Apple,Smartphones,70000,52000,65550.21224554064,67094.83751832129,0.06356839649227668,0,0,0,52
2025-01-04,IPHONE_15_128,Apple,Smartphones,70000,52000,63807.192434663215,61393.23834020185,0.0884686795048112,0,0,1,66
2025-01-05,IPHONE_15_128,Apple,Smartphones,70000,52000,66881.43624481934,68075.68343076942,0.044550910788295164,0,0,1,59
2025-01-06,IPHONE_15_128,Apple,Smartphones,70000,52000,60809.16051614219,61074.02043887795,0.1312977069122544,0,0,0,59
2025-01-07,IPHONE_15_128,Apple,Smartphones,70000,52000,65733.7376750867,66573.3589621933,0.06094660464161861,0,0,0,63
2025-01-08,IPHONE_15_128,Apple,Smartphones,70000,52000,65871.56479030107,66049.92234474323,0.05897764585284183,0,0,0,65
2025-01-09,IPHONE_15_128,Apple,Smartphones,70000,52000,64433.06820060794,63373.60987206542,0.07952759713417232,0,0,0,57
2025-01-10,IPHONE_15_128,Apple,Smartphones,70000,52000,63888.284192238345,61397.16798922398,0.08731022582516644,0,0,0,65
2025-01-11,IPHONE_15_128,Apple,Smartphones,70000,52000,62590.75687901124,63484.81620841975,0.10584633029983936,0,0,1,57
2025-01-12,IPHONE_15_128,Apple,Smartphones,70000,52000,64683.33829185119,64843.26186970149,0.07595231011641158,0,0,1,65
2025-01-13,IPHONE_15_128,Apple,Smartphones,70000,52000,65528.56498885148,67915.64320128864,0.06387764301640744,0,0,0,57
2025-01-14,IPHONE_15_128,Apple,Smartphones,70000,52000,63605.99427498275,63629.71568464364,0.09134293892881783,0,0,0,72
2025-01-15,IPHONE_15_128,Apple,Smartphones,70000,52000,61874.05116988492,63933.34352517608,0.11608498328735828,0,0,0,74
2025-01-16,IPHONE_15_128,Apple,Smartphones,70000,52000,66456.08293189546,66606.917678886,0.05062738668720765,0,0,0,71
2025-01-17,IPHONE_15_128,Apple,Smartphones,70000,52000,65573.97688272096,65925.3567154526,0.06322890167541485,0,0,0,58
2025-01-18,IPHONE_15_128,Apple,Smartphones,70000,52000,62409.311735134215,65149.455020754154,0.10843840378379693,0,0,1,84
2025-01-19,IPHONE_15_128,Apple,Smartphones,70000,52000,63513.991738633296,63124.77838690916,0.0926572608766672,0,0,1,78
2025-01-20,IPHONE_15_128,Apple,Smartphones,70000,52000,64487.773795819376,67655.1611874575,0.07874608863115169,0,0,0,65
2025-01-21,IPHONE_15_128,Apple,Smartphones,70000,52000,64186.73468281648,64348.79439283053,0.08304664738833599,0,0,0,60
2025-01-22,IPHONE_15_128,Apple,Smartphones,70000,52000,64938.1961252019,66167.33424164406,0.07231148392568708,0,0,0,62
2025-01-23,IPHONE_15_128,Apple,Smartphones,70000,52000,66380.80932708831,66211.94145439148,0.05170272389873844,0,0,0,77
2025-01-24,IPHONE_15_128,Apple,Smartphones,70000,52000,62157.26481162992,63289.694204252075,0.11203907411957259,0,0,0,76
2025-01-25,IPHONE_15_128,Apple,Smartphones,70000,52000,64162.1600040973,66357.54047588173,0.08339771422718141,0,0,1,66
2025-01-26,IPHONE_15_128,Apple,Smartphones,70000,52000,65360.664975173786,63622.86386964997,0.06627621464037448,0,0,1,67
2025-01-27,IPHONE_15_128,Apple,Smartphones,70000,52000,65239.650565490585,64583.53985362913,0.06800499192156306,0,0,0,81
2025-01-28,IPHONE_15_128,Apple,Smartphones,70000,52000,59778.844542034196,60637.53448579861,0.14601650654236858,0,0,0,69
2025-01-29,IPHONE_15_128,Apple,Smartphones,70000,52000,69100.98947748265,69746.19599654688,0.01284300746453354,0,0,0,55
2025-01-30,IPHONE_15_128,Apple,Smartphones,70000,52000,64252.435985644486,68851.69299924104,0.08210805734793593,0,0,0,48
2025-01-31,IPHONE_15_128,Apple,Smartphones,70000,52000,64871.28436371375,66009.04129219204,0.07326736623266071,0,0,0,55
2025-02-01,IPHONE_15_128,Apple,Smartphones,70000,52000,61600.084104438196,63374.063396842845,0.11999879850802572,0,0,1,69
2025-02-02,IPHONE_15_128,Apple,Smartphones,70000,52000,60963.15393820656,59436.25392410252,0.12909780088276349,0,0,1,80
2025-02-03,IPHONE_15_128,Apple,Smartphones,70000,52000,66826.81399657018,66548.98531046478,0.045331228620425906,0,0,0,67
2025-02-04,IPHONE_15_128,Apple,Smartphones,70000,52000,68199.12540611203,68998.01503309846,0.02572677991268535,0,0,0,65
2025-02-05,IPHONE_15_128,Apple,Smartphones,70000,52000,66652.58937387282,69901.79380396336,0.04782015180181689,0,0,0,79
2025-02-06,IPHONE_15_128,Apple,Smartphones,70000,52000,66318.97056622378,66448.19056654209,0.0525861347682317,0,0,0,78
2025-02-07,IPHONE_15_128,Apple,Smartphones,70000,52000,62406.88281744431,61110.591516622066,0.10847310260793844,0,0,0,78
