user_id,sku,rating
U0001,IPHONE_16_256,5
U0001,SAMSUNG_S24,3
U0001,DELL_XPS_13,5
U0001,MACBOOK_AIR_M2,5
U0002,IPHONE_15_128,2
U0002,AIRPODS_PRO,1
U0003,IPHONE_15_256,3
U0003,SAMSUNG_S24,1
U0003,MACBOOK_AIR_M2,1
U0003,DELL_XPS_13,1
U0003,IPHONE_15_128,1
U0004,SAMSUNG_S24,4
U0004,MACBOOK_AIR_M2,1
U0004,IPHONE_16_256,5
U0005,ONEPLUS_13,5
U0005,IPHONE_16_256,4
U0005,DELL_XPS_13,3
U0006,IPHONE_16_128,2
U0006,ONEPLUS_13,4
U0006,IPHONE_15_256,4
U0006,IPHONE_16_256,3
U0006,DELL_XPS_13,3
U0007,SAMSUNG_S24,4
U0007,MACBOOK_AIR_M2,4
U0007,AIRPODS_PRO,4
U0007,IPHONE_15_128,4
U0008,SAMSUNG_S24,3
U0008,AIRPODS_PRO,3
U0008,ONEPLUS_13,2
U0008,IPHONE_15_256,3
U0008,IPHONE_15_128,3
U0009,MACBOOK_AIR_M2,3
U0009,IPHONE_15_256,1
U0009,DELL_XPS_13,1
U0009,IPHONE_16_256,5
U0009,IPHONE_15_128,2
U0010,MACBOOK_AIR_M2,4
U0010,SONY_HEADPHONES,3
U0010,IPHONE_15_256,5
U0010,SAMSUNG_S24,2
U0011,IPHONE_16_128,2
U0011,AIRPODS_PRO,5
U0012,IPHONE_15_256,4
U0012,SAMSUNG_S24,3
U0012,ONEPLUS_13,3
U0013,MACBOOK_AIR_M2,1
U0013,IPHONE_16_128,3
U0013,IPHONE_15_128,1
U0013,IPHONE_15_256,2
U0013,SONY_HEADPHONES,5
U0014,DELL_XPS_13,4
U0014,IPHONE_16_256,5
U0014,IPHONE_15_256,2
U0015,DELL_XPS_13,5
U0015,IPHONE_15_128,5
U0015,IPHONE_15_256,5
U0015,SAMSUNG_S24,5
U0015,IPHONE_16_256,4
U0016,SONY_HEADPHONES,1
U0016,DELL_XPS_13,3
U0017,IPHONE_15_128,2
U0017,AIRPODS_PRO,4
U0017,DELL_XPS_13,3
U0017,IPHONE_15_256,1
U0017,SONY_HEADPHONES,4
U0018,IPHONE_16_128,5
U0018,DELL_XPS_13,5
U0018,IPHONE_15_256,2
U0018,MACBOOK_AIR_M2,4
U0019,MACBOOK_AIR_M2,4
U0019,IPHONE_15_128,5
U0019,IPHONE_16_128,2
U0020,IPHONE_16_256,3
U0020,SONY_HEADPHONES,2
U0021,ONEPLUS_13,3
U0021,IPHONE_15_256,4
U0021,SONY_HEADPHONES,1
U0021,IPHONE_15_128,3
U0022,IPHONE_15_256,2
U0022,IPHONE_16_128,1
U0022,MACBOOK_AIR_M2,4
U0023,SAMSUNG_S24,5
U0023,ONEPLUS_13,5
U0023,MACBOOK_AIR_M2,2
U0024,SONY_HEADPHONES,4
U0024,IPHONE_15_128,3
U0024,SAMSUNG_S24,2
U0024,IPHONE_15_256,5
